0.183322 0.258509
0.189568 0.202714
0.0119261 0.0786904
0.144604 0.119854
0.392277 0.23351
0.579702 0.145932
0.64203 0.0721838
0.763218 0.0514536
0.87463 0.0344682
0.907001 0.0103238
0.909513 0.104223
0.896477 0.216904
0.895281 0.267175
0.818263 0.289783
0.861698 0.301795
0.965029 0.383196
0.972186 0.502643
0.88563 0.472114
0.68379 0.694487
0.943029 0.881045
0.936193 0.954032
0.895304 0.926783
0.72431 0.965883
0.618411 0.856383
0.360283 0.905877
0.382194 0.677179
0.406486 0.516015
0.127347 0.778753
0.0846759 0.706118
0.110253 0.569388
0.0934733 0.558521
0.120062 0.534203
