0.871214 -0.490903
0.956376 -0.292139
0.990377 -0.138393
0.999946 0.0103881
0.987624 0.156838
0.878648 0.477471
0.775252 0.631652
0.665892 0.746048
0.721938 0.691957
0.567304 0.823509
0.525939 0.850522
0.270199 0.962805
0.0678035 0.997699
-0.122442 0.992476
-0.436762 0.899577
-0.650939 0.75913
-0.747244 0.66455
-0.979447 0.201703
-0.993712 0.11197
-0.986983 -0.160824
-0.940693 -0.33926
-0.932992 -0.359897
-0.947566 -0.31956
-0.786775 -0.61724
-0.633859 -0.773448
-0.472431 -0.881368
-0.401878 -0.915693
-0.20363 -0.979048
-0.0102417 -0.999948
0.172644 -0.984984
0.474269 -0.88038
0.498128 -0.867104
